5126_27504_000006_000002	66 69 12 12 12 12 12 12 12 12 12 12 350 350 350 124 3 3 217 361 373 373 373 34 34 418 418 476 189 97 408 448 448 46 46 46 46 61 61 398 120 361 73 73 73 86 86 86 108 74 290 366 386 386 479 479 129 197 197 477 193 193 193 68 68 68 68 68 84 84 428 289 298 309 309 309 371 88 88 88 189 286 307 285 28 28 158 38 38 74 74 379 379 379 379 53 53 162 218 218 379 379 379 377 128 275 275 478 0 0 252 344 344 11 11 474 474 445 445 121 121 38 38 38 128 128 128 218 417 379 379 205 205 205 27 377 377 275 275 126 126 126 123 94 94 354 354 279 153 465 465 222 222 222 46 46 46 46 61 61 213 213 213 213 253 253 201 201 201 201 354 354 354 67 67 439 439 275 275 59 0 0 0 170 170 170 170 54 54 71 71 265 476 476 476 475 205 205 481 42 42 42 116 458 458 458 424 424 27 27 391 218 218 189 189 40 168 168 168 360 360 68 68 68 68 84 185 185 335 335 391 391 391 391 90 0 3 3 3 77 77
5126_27504_000030_000003	66 30 106 3 16 16 16 16 12 12 246 350 350 350 350 248 3 10 432 127 127 54 154 154 226 226 229 229 72 72 297 297 297 334 334 299 76 76 280 408 408 408 400 121 250 250 250 131 131 131 409 409 409 435 153 153 307 220 220 220 444 361 373 373 250 32 32 32 32 180 180 56 56 53 194 162 162 90 90 90 478 471 471 471 386 250 250 105 297 297 334 334 334 76 461 29 160 160 42 42 116 269 269 269 476 476 189 408 408 408 479 479 409 409 409 67 439 132 445 266 266 81 81 316 316 316 211 211 211 98 98 117 27 27 27 128 226 226 261 261 218 218 381 117 109 109 109 174 174 226 261 261 35 35 183 183 183 384 384 384 107 107 107 94 94 207 58 71 71 223 223 56 56 219 233 233 474 220 220 220 220 347 347 347 179 183 183 384 384 384 62 327 327 327 104 104 104 358 358 47 167 302 302 302 77 77
5126_27504_000026_000002	66 16 16 16 16 16 16 16 246 246 350 350 350 248 3 113 351 127 127 21 272 272 298 48 46 46 46 61 61 61 398 398 155 155 361 73 73 86 86 86 67 108 74 165 165 390 0 348 33 33 283 283 333 67 153 153 413 267 267 146 297 34 34 34 274 274 423 277 36 36 404 380 469 469 134 91 91 265 86 435 279 153 26 321 321 56 375 76 474 474 210 210 210 210 28 28 158 183 183 183 384 384 384 62 62 144 258 258 192 192 431 208 208 208 208 438 438 141 9 9 172 144 144 144 40 132 445 445 121 121 121 95 95 58 115 53 53 194 162 261 261 261 261 218 35 63 63 63 276 112 112 188 146 424 424 173 173 173 173 368 368 368 307 285 285 347 347 347 179 73 73 73 73 310 157 154 162 162 218 218 417 35 35 265 122 369 238 238 238 209 98 125 125 207 207 303 53 154 154 162 6 6 6 339 339 339 325 302 77 77 77
5126_27504_000017_000005	66 12 12 12 12 12 12 12 12 12 350 350 350 350 350 3 3 217 361 373 373 373 281 281 477 172 21 21 21 141 272 313 21 21 21 157 259 259 259 259 80 2 2 183 384 62 62 153 420 55 220 220 65 179 13 241 185 185 175 26 26 251 50 50 297 81 81 316 316 211 211 18 18 309 309 309 371 371 91 265 265 265 453 346 346 53 53 4 275 275 70 70 478 478 0 0 48 48 68 68 68 68 84 84 84 224 201 201 2 2 2 183 384 62 62 62 281 281 441 441 441 56 115 115 48 221 183 183 183 384 384 384 62 101 312 312 361 185 428 428 9 9 9 265 265 265 265 476 497 497 313 313 435 477 477 477 321 321 321 311 5 56 58 53 53 154 162 70 70 478 478 0 382 172 166 166 166 54 54 358 47 3 3 302 77
5126_27504_000017_000001	66 30 3 3 484 484 484 484 30 246 246 246 133 133 133 248 3 10 225 88 27 27 128 226 226 229 417 35 103 183 183 36 36 384 62 62 62 62 304 304 154 162 126 126 126 288 265 265 277 277 38 122 122 343 498 366 410 410 410 444 361 373 373 373 40 40 40 132 132 445 121 121 103 103 404 404 107 353 486 370 370 226 226 229 417 35 277 277 277 36 38 97 97 400 400 400 37 29 29 29 92 92 473 473 473 225 225 121 183 183 36 380 380 380 135 498 223 166 166 108 377 90 90 478 0 0 210 210 210 158 183 183 183 384 384 384 384 105 81 81 316 316 474 474 208 208 208 332 332 438 32 180 180 180 180 180 243 243 424 424 424 27 27 226 226 226 226 229 417 417 424 424 56 51 51 457 457 3 77 77 77
5126_27504_000003_000000	66 137 137 3 137 137 257 257 246 246 133 133 3 44 489 208 309 134 134 91 88 88 473 473 9 225 121 121 277 277 52 52 52 95 375 340 180 180 180 131 245 420 307 465 337 178 178 178 344 344 11 11 194 367 367 229 126 23 23 83 392 392 476 475 475 245 205 406 406 70 70 478 478 0 382 71 208 223 223 108 128 128 226 226 417 35 265 265 38 38 27 27 128 275 275 70 261 478 0 0 0 48 48 68 68 68 68 68 84 84 224 224 228 201 2 2 2 384 62 62 62 281 153 153 71 478 478 0 49 49 203 418 418 250 250 250 84 84 84 409 409 409 81 81 81 173 173 424 424 454 196 242 430 430 430 63 63 176 176 286 286 225 225 225 225 256 51 51 51 457 457 3 77 77 77
5126_27504_000024_000001	66 69 3 3 484 484 484 12 12 12 246 246 350 350 350 350 248 3 113 195 195 266 266 311 86 86 224 224 228 326 94 354 354 283 283 405 101 25 25 204 204 158 158 277 277 36 36 352 352 420 4 4 4 391 218 218 252 22 312 312 361 361 73 73 73 187 86 86 269 269 82 38 38 37 420 307 288 91 266 21 21 21 27 295 174 275 275 90 90 0 49 223 418 424 56 58 115 115 115 57 88 88 346 138 138 138 188 146 5 5 5 5 5 5 207 207 53 154 162 162 70 70 478 0 0 265 265 277 277 277 277 384 197 197 197 193 193 32 32 32 32 185 273 273 367 367 379 379 379 58 314 314 314 168 168 168 360 360 46 46 46 46 46 46 440 440 8 8 483 483 483 483 6 6 339 339 325 302 302 77 77
5126_27504_000020_000003	66 30 12 12 12 12 12 12 12 12 350 350 350 350 350 248 3 217 217 361 373 373 283 283 283 269 430 430 46 46 46 46 61 61 61 107 107 274 274 423 423 423 277 476 497 497 135 298 298 175 175 307 307 220 411 411 411 2 2 63 63 176 176 109 109 455 391 391 160 160 160 160 160 160 42 116 92 311 311 86 86 86 405 328 328 413 447 447 45 45 45 45 13 13 241 241 309 309 134 134 91 265 265 5 5 5 95 401 401 401 305 305 98 125 125 125 207 303 53 53 154 162 162 90 90 366 366 468 360 360 179 13 426 426 426 473 376 33 33 283 283 333 297 297 118 81 316 316 474 474 110 208 208 438 438 214 214 40 40 168 168 168 400 121 277 277 36 36 36 36 36 294 294 99 174 70 70 478 478 0 0 47 325 255 302 3 302 77
5126_27504_000017_000006	66 30 12 12 12 12 12 12 12 12 30 30 350 350 350 350 248 3 10 225 448 381 63 63 120 155 238 361 373 373 373 334 111 111 111 173 214 214 214 214 309 309 134 134 266 266 311 86 86 86 281 281 153 153 307 110 71 49 203 418 277 277 36 36 36 475 245 420 420 465 224 224 201 201 201 94 94 122 122 343 343 315 307 225 448 183 183 183 384 62 134 134 91 424 424 346 346 53 53 4 4 226 261 218 35 35 103 103 404 404 404 404 353 353 483 483 17 17 17 379 144 144 40 168 168 360 373 373 373 373 405 473 473 225 121 121 277 277 277 36 36 475 475 420 420 293 293 195 195 265 277 277 277 151 151 380 380 343 343 343 319 3 3 3 77 77
5126_27504_000010_000000	66 69 3 3 12 12 12 12 484 12 12 12 350 350 350 124 124 124 374 217 217 361 373 373 373 334 334 111 458 424 424 56 375 375 392 392 476 355 355 328 408 400 400 27 27 27 128 275 275 90 90 366 132 132 400 121 121 103 103 404 107 107 353 486 486 71 223 379 56 56 115 115 57 57 424 34 79 79 251 251 50 50 50 283 214 214 214 349 305 305 305 305 305 45 45 13 13 241 241 54 466 208 208 438 214 214 214 463 174 174 261 261 261 261 218 35 265 311 311 311 297 297 389 346 267 436 436 454 454 364 364 29 116 116 277 277 277 277 36 294 294 258 258 192 308 471 471 309 309 309 134 134 265 265 265 277 277 36 36 36 38 122 343 498 498 47 3 3 3 77 77
5126_27504_000003_000001	66 137 3 3 484 484 484 257 257 124 350 350 350 3 3 217 217 361 361 373 373 373 463 463 324 481 160 160 42 116 116 48 103 103 103 107 107 107 107 274 423 178 476 476 38 189 328 4 4 226 226 261 417 35 103 103 344 11 11 474 288 91 266 266 81 81 316 316 316 481 481 160 42 42 386 22 22 13 13 13 241 185 185 343 343 441 441 441 53 53 194 162 90 90 366 410 410 373 373 373 373 67 153 71 49 418 277 277 277 36 36 36 294 294 258 192 192 308 308 309 309 309 309 134 88 88 88 377 377 275 275 275 478 478 0 0 48 48 48 68 68 68 68 68 84 84 84 84 119 3 3 3 77 77
